# source:CJK 汉字拼音表——42856字 wangyanhan整理制作
# format = 1
㐀 qiū(qiu1)
㐁 tiàn(tian4)
㐄 kuà(kua4)
㐅 wǔ(wu3)
㐆 yǐn(yin3)
㐌 yí(yi2)
㐖 xié(xie2)
㐜 chóu(chou2)
㐡 nuò(nuo4)
㐤 dān qiú(dan1 qiu2)
㐨 xù(xu4)
㐩 xíng(xing2)
㐫 xiōng(xiong1)
㐬 liú(liu2)
㐭 lǐn(lin3)
㐮 xiānɡ(xiang1)
㐯 yōng(yong1)
㐰 xìn(xin4)
㐱 zhěn(zhen3)
㐲 dài(dai4)
㐳 wù(wu4)
㐴 pān(pan1)
㐷 mǎ(ma3)
㐸 cì qiàn(ci4 qian4)
㐹 yì(yi4)
㐺 yín zhònɡ(yin2 zhong4)
㐻 nèi(nei4)
㐼 chènɡ(cheng4)
㐽 fēnɡ(feng1)
㑁 zhuō(zhuo1)
㑂 fǎnɡ(fang3)
㑃 ǎo(ao3)
㑄 wǔ(wu3)
㑅 zuò(zuo4)
㑇 zhòu(zhou4)
㑈 dònɡ(dong4)
㑉 sù(su4)
㑊 yì(yi4)
㑋 qióng(qiong2)
㑌 kuānɡ wānɡ(kuang1 wang1)
㑍 lèi(lei4)
㑎 nǎo(nao3)
㑏 zhù(zhu4)
㑐 shū(shu1)
㑔 xǔ(xu3)
㑗 shēn(shen1)
㑘 jiè(jie4)
㑙 dié(die2)
㑚 nuó(nuo2)
㑛 sù(su4)
㑜 chì yì(chi4 yi4)
㑝 lònɡ(long4)
㑞 yìng(ying4)
㑟 běnɡ(beng3)
㑣 lán(lan2)
㑤 miáo(miao2)
㑥 yì(yi4)
㑦 lì(li4)
㑧 jì(ji4)
㑨 yǔ(yu3)
㑩 luó(luo2)
㑪 chái(chai2)
㑮 hún(hun2)
㑯 xǔ(xu3)
㑰 huì(hui4)
㑱 rǎo(rao3)
㑳 zhòu zhū(zhou4 zhu1)
㑵 hàn(han4)
㑶 xì(xi4)
㑷 tài(tai4)
㑸 yáo(yao2)
㑹 huì(hui4)
㑺 jùn(jun4)
㑻 mà(ma4)
㑽 tánɡ(tang2)
㑾 yáo(yao2)
㑿 zhào(zhao4)
㒀 zhǎ zhāi(zha3 zhai1)
㒁 yǔ(yu3)
㒂 zhuó(zhuo2)
㒃 èr(er4)
㒄 rǎn(ran3)
㒅 qǐ(qi3)
㒆 chì(chi4)
㒇 wǔ(wu3)
㒈 hàn(han4)
㒉 tǎnɡ(tang3)
㒊 sè(se4)
㒌 qióng(qiong2)
㒍 léi(lei2)
㒎 sà(sa4)
㒑 huì kuǐ(hui4 kui3)
㒒 pú(pu2)
㒓 tà(ta4)
㒔 dú shú tù(du2 shu2 tu4)
㒕 yānɡ(yang1)
㒖 ǒu(ou3)
㒗 tái(tai2)
㒙 mián(mian2)
㒚 wěn yìn(wen3 yin4)
㒛 diào(diao4)
㒜 yǔ(yu3)
㒝 miè wà(mie4 wa4)
㒞 jùn(jun4)
㒟 niǎo(niao3)
㒠 xiè(xie4)
㒡 yóu(you2)
㒤 chè(che4)
㒥 fēnɡ(feng1)
㒦 lěi lèi(lei3 lei4)
㒧 lì(li4)
㒩 luǒ(luo3)
㒫 jì(ji4)
㒰 quán(quan2)
